SubjID,ART,Spelling,Vocabulary,Sex,z_ART,z_Vocabulary,z_Spelling,Dim.1,Dim.2,lang_type_ortho,lang_type_semantic
S201,5,68,37,Female,-0.0976164222384404,0.824972680272098,1.18707637782806,1.0903224043311182,0.585619775093277,High Orthographic,High Semantic
S202,9,65,32,Female,0.878547800145963,0.054769970474496,0.678329358758891,0.9408360190904222,0.30133243093110484,High Orthographic,High Semantic
S203,8,70,42,Female,0.634506744549862,1.5951753900697,1.5262410572075,2.1750339673804406,0.2763443055283638,High Orthographic,High Semantic
S204,10,73,38,Male,1.12258885574206,0.979013222231619,2.03498807627667,2.3903647800763794,0.8858889222134252,High Orthographic,High Semantic
S205,3,62,33,Male,-0.585698533430642,0.208810512434016,0.169582339689723,-0.13535581194913632,0.1884470201872471,High Orthographic,Low Semantic
S206,9,64,42,Female,0.878547800145963,1.5951753900697,0.508747019069168,1.7538557685694065,-0.6320584569825105,Low Orthographic,High Semantic
S207,6,67,21,Female,0.14642463335766,-1.63967599108023,1.01749403813834,-0.30964332690843754,1.648736876685328,High Orthographic,Low Semantic
S208,12,69,44,Male,1.61067096693426,1.90325647398874,1.35665871751778,2.850402283302151,-0.2816534256759638,Low Orthographic,High Semantic
S209,9,59,36,Male,0.878547800145963,0.670932138312578,-0.339164679379446,0.7356183971961414,-0.8594735957844527,Low Orthographic,High Semantic
S210,2,57,30,Female,-0.829739589026743,-0.253311113444545,-0.678329358758891,-1.0284064656693654,-0.21209389530569853,Low Orthographic,Low Semantic
S211,3,62,32,Female,-0.585698533430642,0.054769970474496,0.169582339689723,-0.22612967121285388,0.2677245077009281,High Orthographic,Low Semantic
S212,-3,56,19,Female,-2.04994486700725,-1.94775707499927,-0.847911698448614,-2.8573120614190346,0.8428758838181869,High Orthographic,Low Semantic
S213,1,50,26,Female,-1.07378064462284,-0.869473281282627,-1.86540573658695,-2.201668664969695,-0.8145893488385744,Low Orthographic,Low Semantic
S214,5,57,43,Male,-0.0976164222384404,1.74921593202922,-0.678329358758891,0.5930582851733134,-1.4368212905336712,Low Orthographic,High Semantic
S215,2,55,37,Male,-0.829739589026743,0.824972680272098,-1.01749403813834,-0.5824271371397258,-1.048268333455077,Low Orthographic,Low Semantic
S216,8,60,34,Female,0.634506744549862,0.362851054393537,-0.169582339689723,0.5016546616887814,-0.49559592213024517,Low Orthographic,High Semantic
S217,2,67,34,Male,-0.829739589026743,0.362851054393537,1.01749403813834,0.28187740296742414,0.8769562824076347,High Orthographic,High Semantic
S218,10,63,24,Male,1.12258885574206,-1.17755436520167,0.339164679379446,0.1723423188024147,0.5896136196369023,High Orthographic,High Semantic
S219,8,73,37,Female,0.634506744549862,0.824972680272098,2.03498807627667,2.0053212005364287,1.0945797814271863,High Orthographic,High Semantic
S220,2,62,30,Male,-0.829739589026743,-0.253311113444545,0.169582339689723,-0.5548122498784058,0.49098616857833,High Orthographic,Low Semantic
S221,3,66,27,Female,-0.585698533430642,-0.715432739323106,0.847911698448614,-0.3011235948986743,1.2265759963765563,High Orthographic,Low Semantic
S222,15,67,41,Male,2.34279413372257,1.44113484811018,1.01749403813834,2.830047599608965,-0.5191730462386517,Low Orthographic,High Semantic
S223,4,57,29,Female,-0.341657477834541,-0.407351655404065,-0.678329358758891,-0.8249106046568491,-0.2622297794920973,Low Orthographic,Low Semantic
S224,4,63,29,Female,-0.341657477834541,-0.407351655404065,0.339164679379446,-0.256597545707698,0.5814662971687368,High Orthographic,Low Semantic
S225,2,59,23,Female,-0.829739589026743,-1.33159490716119,-0.339164679379446,-1.4743857941990044,0.6240805428436801,High Orthographic,Low Semantic
S226,8,63,31,Female,0.634506744549862,-0.0992705714850245,0.339164679379446,0.5134896133722042,0.1640845787412151,High Orthographic,High Semantic
S227,-7,54,17,Female,-3.02610908939165,-2.25583815891831,-1.18707637782806,-3.8168369068153205,0.979025576692097,High Orthographic,Low Semantic
S228,6,58,25,Female,0.14642463335766,-1.02351382324215,-0.508747019069168,-0.7990174782772941,0.06608281163935253,High Orthographic,Low Semantic
S229,2,53,29,Female,-0.829739589026743,-0.407351655404065,-1.35665871751778,-1.4980556975658503,-0.6952804588992402,Low Orthographic,Low Semantic
S230,4,61,34,Female,-0.341657477834541,0.362851054393537,0,0.007834064294506284,-0.09615316595327975,Low Orthographic,High Semantic
S231,4,61,25,Female,-0.341657477834541,-1.02351382324215,0,-0.809130669078952,0.6173442216698496,High Orthographic,Low Semantic
S232,2,61,27,Male,-0.829739589026743,-0.715432739323106,0,-0.9218526708277505,0.5882026183425675,High Orthographic,Low Semantic
S233,11,62,33,Male,1.36662991133816,0.208810512434016,0.169582339689723,1.041723069155798,-0.32920646661307246,Low Orthographic,High Semantic
S234,4,52,29,Male,-0.341657477834541,-0.407351655404065,-1.5262410572075,-1.2985048204478082,-0.9653098433761258,Low Orthographic,Low Semantic
S235,6,57,38,Male,0.14642463335766,0.979013222231619,-0.678329358758891,0.28632384899284263,-1.1051405388153066,Low Orthographic,High Semantic
S236,9,68,41,Male,0.878547800145963,1.44113484811018,1.18707637782806,2.0419572819384566,0.009683081638393477,High Orthographic,High Semantic
S237,8,64,36,Female,0.634506744549862,0.670932138312578,0.508747019069168,1.062077752848984,-0.09168684605038428,Low Orthographic,High Semantic
S238,0,47,28,Female,-1.31782170021894,-0.561392197363586,-2.37415275565612,-2.4514123360549522,-1.3302856763463138,Low Orthographic,Low Semantic
S239,10,55,27,Male,1.12258885574206,-0.715432739323106,-1.01749403813834,-0.31308684867196773,-0.7731469451185865,Low Orthographic,Low Semantic
S240,10,60,34,Female,1.12258885574206,0.362851054393537,-0.169582339689723,0.7959243819650148,-0.6250092938303251,Low Orthographic,High Semantic
S241,9,65,37,Female,0.878547800145963,0.824972680272098,0.678329358758891,1.3947053154090103,-0.09505500663729963,Low Orthographic,High Semantic
S242,5,64,32,Male,-0.0976164222384404,0.054769970474496,0.508747019069168,0.2575777353797635,0.41954316155445964,High Orthographic,High Semantic
S243,5,53,25,Female,-0.0976164222384404,-1.02351382324215,-1.35665871751778,-1.41974655420637,-0.5722905663946358,Low Orthographic,Low Semantic
S244,3,61,28,Male,-0.585698533430642,-0.561392197363586,0,-0.6839439514259159,0.4442184449788465,High Orthographic,Low Semantic
S245,5,55,28,Female,-0.0976164222384404,-0.561392197363586,-1.01749403813834,-0.9579872900988337,-0.5288910033820677,Low Orthographic,Low Semantic
